gupnp 1:1.6.5-1
gupnp-igd 1.6.0-1
gvfs 1.50.6-1
gzip 1.12-3
harfbuzz 8.1.1-1
harfbuzz-icu 8.1.1-1
haskell-aeson 2.1.2.1-6
haskell-aeson-pretty 0.8.9-136
haskell-ansi-terminal 0.11.4-26
haskell-ansi-wl-pprint 0.6.9-378
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-208
haskell-asn1-parse 0.9.5-208
haskell-asn1-types 0.3.4-187
haskell-assoc 1.0.2-187
haskell-async 2.2.4-161
haskell-attoparsec 0.14.4-54
haskell-attoparsec-iso8601 1.1.0.0-30
haskell-auto-update 0.1.6-308
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-46
haskell-base-orphans 0.8.7-54
haskell-base-unicode-symbols 0.2.4.2-13
haskell-base16-bytestring 1.0.2.0-60
haskell-base64 0.4.2.4-47
haskell-base64-bytestring 1.2.1.0-82
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.15-8
haskell-bitvec 1.1.3.0-53
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-204
haskell-blaze-markup 0.8.2.8-110
haskell-boring 0.2.1-1
haskell-bsb-http-chunked 0.0.0.4-351
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-145
haskell-case-insensitive 1.2.1.0-183
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.1-44
haskell-cmdargs 0.10.22-1
haskell-colour 2.3.6-170
haskell-commonmark 0.2.3-1
haskell-commonmark-extensions 0.2.3.4-5
haskell-commonmark-pandoc 0.2.1.3-29
haskell-comonad 5.0.8-187
haskell-conduit 1.3.5-6
haskell-conduit-extra 1.3.6-85
haskell-constraints 0.13.4-29
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-crypton 0.32-1
haskell-crypton-connection 0.3.1-6
haskell-crypton-x509 1.7.6-4
haskell-crypton-x509-store 1.6.9-4
haskell-crypton-x509-system 1.6.7-4
haskell-crypton-x509-validation 1.6.12-4
haskell-cryptonite 0.30-51
haskell-data-array-byte 0.1.0.1-15
haskell-data-default 0.7.1.1-276
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-289
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-82
haskell-dec 0.0.5-3
